id,title,category,start,end,rank,local_rank,phq_attendance,location,labels,entities,duration,updated
6kaTH7SEYWQ8YiUcvK,Helen Albert Farmers' Market,festivals,2025-09-08T16:00:00Z,2025-09-08T21:00:00Z,39,50,292.0,[-118.35118342   34.09410422],,"[{'category': 'festivals', 'description': None, 'entity_id': 'werxzFeHCJRNHbpiVgSRnr', 'formatted_address': None, 'labels': array(['community', 'event-group', 'festival'], dtype=object), 'name': ""Helen Albert Farmers' Market"", 'recurring': None, 'timezone': 'America/Los_Angeles', 'type': 'event-group'}]",18000,2025-12-01T21:44:38Z
BpxFJoGTvW2KvNQDvc,Gardena FM presented by Kaiser Permanente,festivals,2025-09-08T17:00:00Z,2025-09-08T21:00:00Z,37,52,213.0,[-118.30829875   33.89054502],,"[{'category': 'festivals', 'description': None, 'entity_id': 'uxU2pW5MxjAFfjVcnYRK7z', 'formatted_address': None, 'labels': array(['community', 'event-group', 'festival'], dtype=object), 'name': 'Gardena FM presented by Kaiser Permanente', 'recurring': None, 'timezone': 'America/Los_Angeles', 'type': 'event-group'}]",14400,2025-12-01T21:40:37Z
3At5q4hfNkSKK5ScW6,39th Annual Creative Arts Festival at Menlo Park,festivals,2025-09-08T17:30:00Z,2025-09-12T20:30:00Z,43,64,439.0,[-122.18466   37.45103],,[],356400,2025-10-07T19:00:15Z
3NYGWQbgsupfmvD5Jf,Fall Arts Festival Event at The Perch,festivals,2025-09-08T19:00:00Z,2025-09-08T21:00:00Z,37,62,212.0,[-110.76682   43.48159],,[],7200,2025-09-07T03:53:37Z
5JggZomqjYzGtnJsEU,Food Truck Festival,festivals,2025-09-08T20:00:00Z,2025-09-08T23:00:00Z,42,69,377.0,[-78.4383   41.01798],,[],10800,2025-08-17T04:14:34Z
CfqU7N4txsLeZicMY9,Spirit Week: A 5-Day Homecoming Celebration,festivals,2025-09-08T20:00:00Z,2025-09-08T20:00:00Z,47,61,699.0,[-76.99457  38.93034],,[],0,2025-07-20T02:37:30Z
39a7m88EkBqCWcQnhS,NEW BREED WRESTLING PRESENTS - Long Live the King,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,30,53,100.0,[-98.11137  26.18226],,[],0,2025-10-08T00:43:59Z
4SuHvVEPciPqWTDvKe,Comunicaciones v Municipal,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,73,84,14409.0,[-118.2841482   34.0126382],,"[{'category': None, 'description': None, 'entity_id': 'LNfPxyA4AStUUhFuW5jWAQ', 'formatted_address': None, 'labels': None, 'name': 'Comunicaciones of Guatemala', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'sRFAUAryZdiy6GgC87CwCA', 'formatted_address': '3939 S Figueroa St, Los Angeles, CA 90037, USA', 'labels': None, 'name': 'BMO Stadium', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-10-09T09:46:06Z
4fK7rqwjouLdqN7Gdi,Texas A&M Aggies vs TCU Horned Frogs Womens Soccer,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,0,0,,[-97.3685395  32.7026833],,"[{'category': None, 'description': None, 'entity_id': 'WZfQKjGAsNwAtR8B3eNaBm', 'formatted_address': None, 'labels': None, 'name': 'TCU Horned Frogs Womens Soccer', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': '38KaDu45cffLgTZ3rnCNFtm', 'formatted_address': None, 'labels': None, 'name': 'Texas A&M Aggies Womens Soccer', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'E8myq7XC8uR3AfjiwzY5R6', 'formatted_address': '3600 W Berry St, Fort Worth, TX 76109, USA', 'labels': None, 'name': 'Garvey-Rosenthal Soccer Stadium', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-09-07T12:08:53Z
9mnsBR2c3ZA6MgnfTD,Portland Timbers 2 vs The Town FC,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,62,88,3829.0,[-122.1058922   37.841907 ],,"[{'category': None, 'description': None, 'entity_id': 'LYrxKtStSabnTE7BYbL2jE', 'formatted_address': None, 'labels': None, 'name': 'Portland Timbers II', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': '8d6etczgSq5hJAtVcBt8yB', 'formatted_address': None, 'labels': None, 'name': 'The Town FC', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'y4Bw6HnV3z7dmnmk2NsS73', 'formatted_address': 'Moraga, CA, United States of America', 'labels': None, 'name': 'Saint Mary s Stadium', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-10-09T20:47:06Z
Ap248BYHvBH9KAzDcd,Vanguard Weekly,sports,2025-09-08T00:00:00Z,2025-09-08T03:00:00Z,30,52,100.0,[-98.22483  26.23571],,[],10800,2025-09-07T03:40:32Z
Cx48dDJi9woowfArZk,Sunday YuGiOh Locals,sports,2025-09-08T00:00:00Z,2025-09-08T03:00:00Z,30,53,100.0,[-88.16721  41.69564],,[],10800,2025-09-07T23:06:54Z
D2q6VcUNpAb9HS47zL,Roundtable Pro Wrestling Presents: Bar Wars 4 Divine Sinners,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,30,52,100.0,[-122.67079   45.62607],,"[{'category': None, 'description': None, 'entity_id': 'jcVGraQgStCHNCAGrX7YHb', 'formatted_address': '606 Broadway St, Vancouver, WA 98660, USA', 'labels': None, 'name': ""Georgie's Garage & Grill"", 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-10-07T00:55:52Z
DV3Q6DfBy6HPi5mt2R,Full Moon Paddle,sports,2025-09-08T00:00:00Z,2025-09-08T03:00:00Z,30,61,100.0,[-86.76195  33.3221 ],,[],10800,2025-10-07T08:54:20Z
Dh6ry6bS4R9ZM4U8qQ,Game Night Live Trivia at X-Golf Boise,sports,2025-09-08T00:00:00Z,2025-09-08T02:00:00Z,30,53,100.0,[-116.2832    43.61049],,[],7200,2025-08-10T04:29:22Z
F8c4CkpoudoSFkcrbp,Sunday Lower Level Pool Tournament,sports,2025-09-08T00:00:00Z,2025-09-08T01:00:00Z,30,57,100.0,[-94.19829  46.35565],,[],3600,2025-09-07T04:01:12Z
Fa25VGJTREGUX7Em7z,Sunday Trophy League Tournament,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,30,52,100.0,[-88.091972  41.552795],,"[{'category': None, 'description': None, 'entity_id': 'WdNsa7aC3pCEExbDMd9VNN', 'formatted_address': '362 Theodore St, Crest Hill, IL 60403, USA', 'labels': None, 'name': ""Paddy's"", 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-09-07T04:02:03Z
G4o88Zuck2dpjQSr5v,UC Riverside Highlanders vs San Diego Toreros Womens Soccer,sports,2025-09-08T00:00:00Z,2025-09-08T00:00:00Z,64,83,4760.0,[-117.1836314   32.773113 ],,"[{'category': None, 'description': None, 'entity_id': '39AKwijsYm4hCW3p9dUfbe5', 'formatted_address': None, 'labels': None, 'name': 'San Diego Toreros Womens Soccer', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'bVDwjEQFjmgCvnrT8EgAYu', 'formatted_address': None, 'labels': None, 'name': 'UC Riverside Highlanders Womens Soccer', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'CXyJPjBRnFgdfXP9LzkHDu', 'formatted_address': '5998 Alcala Park Way, San Diego, CA 92111, USA', 'labels': None, 'name': 'Torero Stadium', 'recurring': None, 'timezone': None, 'type': 'venue'}]",0,2025-09-08T02:46:28Z
GMnWoC3BBo4ap3sZUu,Sunday DragonBall Super: Fusion World,sports,2025-09-08T00:00:00Z,2025-09-08T03:00:00Z,30,50,100.0,[-117.17375   33.56272],,[],10800,2025-09-07T03:16:08Z
GbDNmLMgkb6U4Zweev,Cornhole Tournaments EVERY Sunday,sports,2025-09-08T00:00:00Z,2025-09-08T03:00:00Z,30,54,100.0,[-77.45889  38.30222],,[],10800,2025-09-07T02:43:32Z
QzhGwonmXPjUmC6p3k,Lorcana Tournament,sports,2025-09-08T00:00:00Z,2025-09-08T00:01:00Z,30,63,100.0,[-132.38248   56.47075],,[],60,2025-09-07T02:50:04Z
HjSdSoFPFEh5GVVXnx,Baltimore Ravens vs Buffalo Bills,sports,2025-09-08T00:20:00Z,2025-09-08T03:38:06Z,87,100,70745.0,[-78.7870161  42.7736971],,"[{'category': None, 'description': None, 'entity_id': 'htdWsNKcpWWLjv8AN99nee', 'formatted_address': None, 'labels': None, 'name': 'Baltimore Ravens', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'f3a8AmiW88cXzNDCBBAgJ6', 'formatted_address': None, 'labels': None, 'name': 'Buffalo Bills', 'recurring': None, 'timezone': None, 'type': 'organization'}
 {'category': None, 'description': None, 'entity_id': 'WzELqGN2rqHbJFVq2KVWA3', 'formatted_address': '1 Bills Dr, Orchard Park, NY 14127, USA', 'labels': None, 'name': 'Highmark Stadium', 'recurring': None, 'timezone': None, 'type': 'venue'}]",11886,2025-12-05T18:11:33Z
WqgHUnA9XNxcw4Wwum,Last Home Opener @ The Ralph,sports,2025-09-08T00:20:00Z,2025-09-08T00:20:00Z,30,59,100.0,[-85.64355  42.67092],,[],0,2025-09-07T03:10:17Z
3aaru5VzXtiu2vfVTf,Owensboro Men's League Ice Hockey,sports,2025-09-08T00:30:00Z,2025-09-08T03:30:00Z,30,55,100.0,[-87.12519  37.76372],,[],10800,2025-09-07T23:21:53Z
4YXS49gEhvqqtxBr6h,Sunday Dart Tournament,sports,2025-09-08T00:30:00Z,2025-09-08T03:30:00Z,30,60,100.0,[-124.18174   41.74819],,[],10800,2025-09-07T04:48:00Z
4qSrDHHFGArWMrCDW2,? 901 Wrestling After Party at Lucchesi's Beer Garden,sports,2025-09-08T00:30:00Z,2025-09-08T00:30:00Z,30,54,100.0,[-89.95017  35.12961],,[],0,2025-10-07T01:56:32Z
