artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,lastfm_listeners,lastfm_playcount,plays_per_listener,lastfm_tag_1
Armani White,58.0,620939.0,65.0,1,1.0,1.6547,474431.0,4577156.0,9.647674793594854,Rap
Armin van Buuren,73.0,4533003.0,72.0,1,0.0,3.406,1705418.0,59467855.0,34.86995856734244,Trance
Artemas,74.0,1377042.0,54.142857142857146,14,0.2142857142857142,2.3549261904761907,1504845.0,45454698.0,30.205568015310547,Pop
Arya,23.0,1867.0,38.0,1,0.0,3.0204,70179.0,612478.0,8.727368586044259,metal
Asaf Avidan,58.0,447612.0,48.0,2,0.0,3.4871,468673.0,6009200.0,12.821732849982824,folk
Asal,59.0,135959.0,52.5,2,0.0,2.7487250000000003,228873.0,4538338.0,19.829066775023705,Canadian
Ascence,54.0,10450.0,28.0,1,0.0,2.159666666666667,47868.0,321962.0,6.726038271914431,techno
Ashanti,70.0,3561441.0,61.0,1,0.0,3.1051,1387562.0,14565130.0,10.496921939343972,RnB
Ashe,69.0,2554758.0,69.75,4,1.0,3.532854166666666,1130963.0,24712833.0,21.851141902962343,future garage
Ashlee Keating,23.0,2754.0,41.0,1,0.0,2.4324166666666667,3842.0,7329.0,1.9076002082248829,Unknown
Ashley Johnson,44.0,36322.0,54.0,1,0.0,3.2264666666666666,105787.0,1816918.0,17.175248376454572,acoustic
Ashley Tisdale,49.0,1327604.0,34.0,2,0.0,2.9836666666666667,961129.0,21395651.0,22.26095664577804,Pop
Ashnikko,71.0,2613864.0,61.8,5,0.6,2.7433266666666665,1385364.0,57712114.0,41.65844788806408,Electronic
Ashris,29.0,2339.0,0.0,1,0.0,2.7438166666666666,8386.0,49769.0,5.934772239446697,Unknown
Ashwin Gane,47.0,2695.0,52.0,1,1.0,3.216666666666667,18697.0,37398.0,2.00021393806493,Unknown
Astrid S,62.0,1379500.0,69.0,2,0.0,3.4788,621056.0,11202776.0,18.03827030090684,Pop
AthenaDME,22.0,178.0,37.0,1,0.0,2.159283333333333,35.0,41.0,1.1714285714285717,Unknown
Atli Örvarsson,41.0,18164.0,7.0,2,0.0,3.3491,88848.0,1031312.0,11.607599495768053,Soundtrack
Au/Ra,60.0,597593.0,67.0,1,0.0,3.9628666666666654,543183.0,6716221.0,12.364564060362714,Pop
Audio Dope,31.0,15288.0,32.0,1,0.0,3.949783333333333,67349.0,356539.0,5.29390191391112,Hip-Hop
Audioslave,69.0,5146839.0,74.33333333333333,3,0.0,4.726516666666666,3206286.0,91497219.0,28.536823914023888,alternative rock
Audrey Evans,4.0,30.0,18.0,1,0.0,1.6522166666666669,963.0,2895.0,3.006230529595016,Unknown
Austin Wintory,47.0,55542.0,31.0,3,0.0,2.7265722222222224,253998.0,6537151.0,25.737017614311924,Soundtrack
Ava Beathard,26.0,7366.0,38.0,1,0.0,3.6644,31014.0,203422.0,6.559037853872445,indie Pop
Ava Max,77.0,7750481.0,51.16666666666666,6,0.0,2.888505555555556,1501087.0,63717409.0,42.44751236936966,Pop
Avicii,79.0,23434221.0,53.142857142857146,14,0.0714285714285714,3.5556214285714285,3234201.0,107833706.0,33.341683463705564,House
