year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth,dma_static_strength,annual_sales_avg,avg_ticket_price_dma,annual_sales_current,strength_vs_avg,price_premium_vs_dma,sales_momentum
2023,86,Dayton,8088168,146297,55.29,-0.2,71,64,113917.85915492958,2060.521126760563,,,,2466633.0,35854.0,68.8,9.0,2.279031781379719,3.080353656495788,,,,,,,
2024,74,Dayton,14682663,236937,61.97,0.12,100,64,146826.63,2369.37,,,,8088168.0,146297.0,55.29,71.0,0.8153261653318773,0.6195615767924154,,,,,,,
2022,8,Denver,56340791,706176,79.78,0.0,152,16,370663.0986842105,4645.894736842105,,,,,,,,,,194.5,87.5,86.4,89.0,1.2257063205734902,0.9233796296296296,1.0171428571428571
2023,16,Denver,134568071,1569758,85.73,0.07,412,17,326621.53155339806,3810.0922330097087,,,,56340791.0,706176.0,79.78,152.0,1.3884661292739038,1.2228991073046944,194.5,87.5,86.4,89.0,1.2257063205734902,0.9922453703703703,1.0171428571428571
2024,18,Denver,152814674,1691713,90.33,0.05,457,16,334386.5951859956,3701.7789934354487,,,,134568071.0,1569758.0,85.73,412.0,0.1355938512338488,0.0776903191447344,194.5,87.5,86.4,89.0,1.2257063205734902,1.0454861111111111,1.0171428571428571
2025,12,Denver,218395048,2433003,89.76,-0.006,600,17,363991.7466666666,4055.005,,,,152814674.0,1691713.0,90.33,457.0,0.4291497163420315,0.4381889835923707,194.5,87.5,86.4,89.0,1.2257063205734902,1.038888888888889,1.0171428571428571
2023,77,Des Moines,11421996,146384,78.03,0.54,47,69,243021.1914893617,3114.553191489362,,,,,,,,,,,,,,,,
2024,67,Des Moines,21110348,306823,68.8,-0.12,137,68,154090.13138686132,2239.5839416058398,,,,11421996.0,146384.0,78.03,47.0,0.8482188226996403,1.0960145917586623,,,,,,,
2025,44,Des Moines-Ames,47606444,527294,90.28,0.312,163,67,292064.0736196319,3234.9325153374234,,,,,,,,,,144.0,57.0,90.28,57.0,0.9074638054631495,1.0,1.0
2022,13,Detroit,41720069,574252,72.65,0.0,86,15,485117.0813953488,6677.348837209303,,,,,,,,,,197.0,87.25,80.11500000000001,86.0,1.2414609005294477,0.9068214441739998,0.9856733524355301
2023,14,Detroit,164665824,2140552,76.93,0.06,430,13,382943.77674418606,4978.027906976744,,,,41720069.0,574252.0,72.65,86.0,2.946921180787117,2.727548184420777,197.0,87.25,80.11500000000001,86.0,1.2414609005294477,0.9602446483180428,0.9856733524355301
2024,13,Detroit,208376320,2485735,83.83,0.09,548,14,380248.7591240876,4536.012773722628,,,,164665824.0,2140552.0,76.93,430.0,0.2654497146900378,0.1612588715434149,197.0,87.25,80.11500000000001,86.0,1.2414609005294477,1.0463708419147475,0.9856733524355301
2025,15,Detroit,176278287,2025112,87.05,0.038,447,14,394358.58389261743,4530.451901565995,,,,208376320.0,2485735.0,83.83,548.0,-0.1540387746553927,-0.1853065592269489,197.0,87.25,80.11500000000001,86.0,1.2414609005294477,1.0865630655932097,0.9856733524355301
2022,60,El Paso,5164849,62329,82.86,0.0,12,93,430404.0833333333,5194.083333333333,,,,,,,,,,,,,,,,
2023,71,El Paso,13699845,175681,77.98,-0.06,122,92,112293.81147540984,1440.0081967213114,,,,5164849.0,62329.0,82.86,12.0,1.652516075494172,1.818607710696465,,,,,,,
2024,54,El Paso,26324528,239110,110.09,0.41,96,91,274213.8333333333,2490.7291666666665,,,,13699845.0,175681.0,77.98,122.0,0.9215201339869176,0.3610464421309076,,,,,,,
2025,76,El Paso (Las Cruces),13168255,138777,94.89,-0.138,78,89,168823.78205128206,1779.1923076923076,,,,,,,,,,122.0,25.0,94.89,25.0,0.7688235018507239,1.0,1.0
2022,100,Eugene,1445285,31594,45.75,0.0,10,113,144528.5,3159.4,,,,,,,,,,,,,,,,
2022,83,Evansville,2513661,41247,60.94,0.0,17,106,147862.41176470587,2426.294117647059,,,,,,,,,,103.66666666666669,15.333333333333334,50.47666666666667,15.0,0.653289915507036,1.2072904972594598,0.9782608695652174
2024,88,Evansville,10734837,198522,54.07,-0.13,91,107,117965.24175824175,2181.56043956044,,,,2513661.0,41247.0,60.94,17.0,3.2705985413307523,3.8130045821514296,103.66666666666669,15.333333333333334,50.47666666666667,15.0,0.653289915507036,1.071188007660305,0.9782608695652174
2025,86,Evansville,10066274,276420,36.42,-0.327,121,109,83192.34710743802,2284.462809917356,,,,10734837.0,198522.0,54.07,91.0,-0.0622797532929471,0.39238976032883,103.66666666666669,15.333333333333334,50.47666666666667,15.0,0.653289915507036,0.7215214950802351,0.9782608695652174
2022,67,Fargo,4231594,61685,68.6,0.0,12,114,352632.8333333333,5140.416666666667,,,,,,,,,,,,,,,,
2023,95,Fargo,7046771,80566,87.47,0.28,17,116,414515.9411764706,4739.176470588235,,,,4231594.0,61685.0,68.6,12.0,0.6652757802378961,0.3060873794277376,,,,,,,
2024,77,Fargo,13929945,144015,96.73,0.11,29,113,480342.9310344828,4966.0344827586205,,,,7046771.0,80566.0,87.47,17.0,0.9767841185700514,0.7875406499019437,,,,,,,
2025,58,Fort Myers-Naples,24635794,334051,73.75,0.01,207,53,119013.49758454108,1613.7729468599034,,,,,,,,,,158.0,43.0,73.75,43.0,0.9956894532165113,1.0,1.0
2025,79,Fort Smith-Fayetteville-Springdale-Rogers,11937228,200691,59.48,0.011,41,96,291151.9024390244,4894.90243902439,,,,,,,,,,115.0,22.0,59.48,22.0,0.724710677974043,1.0,1.0
2025,94,Fort Wayne,8043679,157174,51.18,-0.046,142,110,56645.62676056338,1106.8591549295777,,,,,,,,,,101.0,7.0,51.18,7.0,0.6364850302206813,1.0,1.0
2022,55,Fresno-Visalia,5541401,73126,75.78,0.0,15,55,369426.7333333333,4875.066666666667,,,,,,,,,,156.75,40.25,83.8075,44.0,0.9878121632385326,0.9042150165557975,1.093167701863354
2023,66,Fresno-Visalia,15728079,205036,76.71,0.01,53,54,296756.2075471698,3868.603773584906,,,,5541401.0,73126.0,75.78,15.0,1.83828566097274,1.8038727675518968,156.75,40.25,83.8075,44.0,0.9878121632385326,0.91531187542881,1.093167701863354
2024,65,Fresno-Visalia,21622213,229407,94.25,0.23,54,53,400411.3518518519,4248.277777777777,,,,15728079.0,205036.0,76.71,53.0,0.3747523139984228,0.1188620534930451,156.75,40.25,83.8075,44.0,0.9878121632385326,1.1246010201950898,1.093167701863354
2025,57,Fresno-Visalia,27580863,311687,88.49,-0.061,73,55,377820.0410958904,4269.684931506849,,,,21622213.0,229407.0,94.25,54.0,0.2755800250418401,0.3586638594288753,156.75,40.25,83.8075,44.0,0.9878121632385326,1.0558720878203023,1.093167701863354
2022,50,Ft. Myers-Naples,6418101,99053,64.79,0.0,44,54,145865.93181818182,2251.204545454545,,,,,,,,,,,,,,,,
