city,state_code,tm_events_2025,tm_avg_price_2025,tm_artists_2025,tm_venues_2025,year
North Myrtle Beach,SC,7,25.37875,7,1,2025
Northfield,OH,4,23.83625,4,1,2025
Northridge,CA,1,25.52,1,1,2025
Oakland,CA,21,39.487976190476196,11,7,2025
Oklahoma City,OK,11,28.373636363636365,8,8,2025
Omaha,NE,10,26.957500000000003,3,4,2025
Ontario,CA,1,17.19,1,1,2025
Orlando,FL,62,15.248454545454544,24,9,2025
Ormond Bch,FL,1,19.545,1,1,2025
Ormond Beach,FL,2,15.82,1,2,2025
Oxford,AL,2,23.247500000000002,2,1,2025
Oxford,MS,3,22.013333333333335,3,2,2025
Oxnard,CA,23,35.31704545454546,3,2,2025
Palatine,IL,7,28.455714285714286,4,1,2025
Palmdale,CA,10,9.379000000000001,1,1,2025
Park City,KS,4,12.892500000000002,3,2,2025
Pawling,NY,16,27.909375,4,1,2025
Pensacola,FL,5,34.99125,4,4,2025
Pinellas Park,FL,1,19.545,1,1,2025
Pioneertown,CA,8,23.355937500000003,8,2,2025
Plymouth,MI,2,15.82,1,2,2025
Pomona,CA,3,30.611666666666668,3,3,2025
Ponte Vedra Beach,FL,1,19.545,1,1,2025
Pontiac,MI,8,59.028124999999996,1,4,2025
Port Chester,NY,12,27.714999999999996,10,2,2025
Primm,NV,3,35.980000000000004,2,2,2025
Queens,NY,1,42.335,1,1,2025
Raleigh,NC,10,26.397000000000002,10,4,2025
Red Bank,NJ,22,31.243823529411763,16,2,2025
Richmond,KY,1,37.2775,1,1,2025
Richmond,VA,9,22.45555555555556,8,5,2025
Riverside,CA,7,28.577857142857145,7,1,2025
Rochester,NY,18,17.718611111111112,6,7,2025
Rockford,IL,3,17.19,3,2,2025
Rohnert Park,CA,1,29.305,1,1,2025
Rosemont,IL,12,23.707727272727276,7,3,2025
Roseville,CA,4,19.782500000000002,4,1,2025
Royal Oak,MI,3,23.320000000000004,3,1,2025
Rutherford,NJ,8,34.79875,5,4,2025
Sacramento,CA,13,29.987727272727273,11,3,2025
Saginaw,MI,3,27.691666666666666,2,2,2025
Saint Augustine,FL,5,19.798000000000002,4,2,2025
Saint Charles,IL,3,26.045,3,1,2025
Saint Petersburg,FL,1,19.545,1,1,2025
Salamanca,NY,1,53.665,1,1,2025
San Francisco,CA,102,27.491881188118814,54,24,2025
San Jose,CA,13,109.38199999999999,10,5,2025
San Leandro,CA,1,42.335,1,1,2025
Sanford,FL,10,21.4925,2,2,2025
Santa Ana,CA,1,4.14,1,1,2025
Santa Cruz,CA,16,22.664375,9,2,2025
Savannah,GA,2,35.4275,2,1,2025
Sayreville,NJ,3,25.001666666666665,2,1,2025
Schenectady,NY,3,29.304999999999996,2,3,2025
Scranton,PA,2,23.247500000000002,2,1,2025
Shipshewana,IN,5,14.8025,4,1,2025
Silver Spring,MD,7,31.909285714285716,7,1,2025
South Barrington,IL,2,47.662499999999994,1,2,2025
South Bend,IN,3,23.576666666666668,2,1,2025
South Burlington,VT,2,18.3675,2,2,2025
Southfield,MI,1,116.65,1,1,2025
Springfield,MA,2,17.19,2,1,2025
Springfield,MO,2,23.247500000000002,2,2,2025
St Petersburg,FL,4,36.62625,3,2,2025
St. Augustine,FL,1,19.545,1,1,2025
St. Petersburg,FL,1,59.495,1,1,2025
Stamford,CT,5,18.95,4,1,2025
Stateline,NV,2,17.19,2,2,2025
Staten Island,NY,3,29.305,3,1,2025
Stockton,CA,2,,2,1,2025
Stone Park,IL,2,0.0,0,1,2025
Stoughton,WI,1,24.895,1,1,2025
Sumterville,FL,1,29.305,1,1,2025
Syracuse,NY,41,15.14341463414634,7,6,2025
Tampa,FL,17,29.2678125,14,9,2025
Tarrytown,NY,1,29.305,1,1,2025
Thackerville,OK,3,19.861666666666668,3,1,2025
Thousand Oaks,CA,2,41.754999999999995,2,1,2025
Topeka,KS,1,29.305,1,1,2025
Tulsa,OK,4,19.01,3,4,2025
Tuscaloosa,AL,2,31.64,2,1,2025
Tysons,VA,6,22.968333333333334,5,2,2025
Ventura,CA,4,17.73,3,2,2025
Verona,NY,2,17.19,2,2,2025
Virginia Beach,VA,17,38.665769230769236,8,5,2025
Wantagh,NY,8,35.753125,5,1,2025
Warren,MI,2,29.305,2,1,2025
Washington,DC,81,34.765375,58,13,2025
Waterloo,NY,3,35.239999999999995,3,1,2025
Waukegan,IL,7,30.884999999999998,7,1,2025
West Chester,OH,3,22.00666666666667,2,1,2025
West Hollywood,CA,33,193.98128787878787,20,3,2025
West Lafayette,IN,4,31.64,2,2,2025
West Nyack,NY,5,51.15,1,1,2025
Westland,MI,7,62.89714285714285,1,1,2025
Wheatland,CA,3,27.49166666666667,3,1,2025
White Plains,NY,1,,1,1,2025
Wichita,KS,1,19.545,1,1,2025
Wilkes Barre,PA,3,8.66,2,1,2025
Williamsport,PA,1,29.305,1,1,2025
Wilmington,NC,1,29.305,1,1,2025
Winston Salem,NC,1,19.545,1,1,2025
Winter Park,FL,17,19.742941176470588,6,1,2025
Worcester,MA,7,19.26571428571429,0,1,2025
Wyandotte,MI,2,43.75,1,1,2025
