event_id,event_date,artist_name,venue_name,city,state_code,price_min,price_max,price_avg,total_tickets,sold_out,year,month,dayofweek,data_source
9534262,2016-05-27 03:00:00,Macklemore and Ryan Lewis,Portland Memorial Coliseum ,Portland,OR,72.56,999.0,535.78,492,0,2016,5,4,GitHub
9534267,2016-05-29 03:00:00,Macklemore and Ryan Lewis,Bill Graham Civic Auditorium,San Francisco,CA,78.02,219.99,149.005,444,0,2016,5,6,GitHub
9528777,2016-03-18 17:00:00,MAD DECENT Pool Party,Shelborne Beach Resort,Miami Beach,FL,108.58,150.0,129.29,29,0,2016,3,4,GitHub
9519267,2016-11-06 02:00:00,Madeleine Peyroux,Carnegie Hall - Zankel Hall,New York,NY,299.07,279.0,289.03499999999997,12,0,2016,11,6,GitHub
9509210,2016-05-18 23:30:00,Magic Man & The Griswolds,Terminal West,Atlanta,GA,51.26,73.0,62.129999999999995,43,0,2016,5,2,GitHub
9509194,2016-04-24 00:30:00,Magic Man & The Griswolds,Metro,Chicago,IL,44.97,73.0,58.985,39,0,2016,4,6,GitHub
9509207,2016-05-15 01:00:00,Magic Man & The Griswolds,Granada Theater Dallas,Dallas,TX,61.67,85.0,73.33500000000001,20,0,2016,5,6,GitHub
9507983,2016-05-15 23:30:00,Magic Man & The Griswolds,House of Blues Houston,Houston,TX,33.18,195.0,114.09,88,0,2016,5,6,GitHub
9507124,2016-05-11 02:30:00,Magic Man & The Griswolds,Fonda Theatre,Los Angeles,CA,52.06,67.24,59.65,7,0,2016,5,2,GitHub
9509208,2016-05-18 00:30:00,Magic Man & The Griswolds,Mercy Lounge ,Nashville,TN,37.73,79.0,58.364999999999995,60,0,2016,5,2,GitHub
9509213,2016-04-14 23:15:00,Magic Man & The Griswolds,Webster Hall,New York,NY,45.99,79.0,62.495000000000005,74,0,2016,4,3,GitHub
9509188,2016-04-09 23:30:00,Magic Man & The Griswolds,Union Transfer,Philadelphia,PA,50.86,41.0,45.93,10,0,2016,4,5,GitHub
9509205,2016-05-06 03:30:00,Magic Man & The Griswolds,Wonder Ballroom,Portland,OR,50.87,41.0,45.935,12,0,2016,5,4,GitHub
9509203,2016-05-05 01:30:00,Magic Man & The Griswolds,Neumos,Seattle,WA,50.81,73.0,61.905,28,0,2016,5,3,GitHub
9509206,2016-05-09 02:30:00,Magic Man & The Griswolds,Fillmore San Francisco,San Francisco,CA,90.99,75.0,82.995,18,0,2016,5,0,GitHub
9508023,2016-04-12 22:30:00,Magic Man and The Griswolds,Royale Boston,Boston,MA,33.17,79.0,56.085,77,0,2016,4,1,GitHub
9511110,2016-05-14 00:00:00,Magic Man and the Griswolds with Panama Wedding,Scoot Inn,Austin,TX,106.44,85.75,96.095,8,0,2016,5,5,GitHub
9491375,2016-04-15 23:30:00,Maine Youth Rock Orchestra,Port City Music Hall,Portland,ME,75.78,63.0,69.39,19,0,2016,4,4,GitHub
9529296,2016-03-21 00:00:00,Majid Jordan,Vinyl Atlanta,Atlanta,GA,140.95,225.0,182.975,2,0,2016,3,0,GitHub
9529297,2016-03-23 02:00:00,Majid Jordan,Bardot,Miami,FL,91.0,191.69,141.345,31,0,2016,3,2,GitHub
9527963,2016-03-15 04:00:00,Majid Jordan,The Chapel San Francisco,San Francisco,CA,148.76,229.0,188.88,48,0,2016,3,1,GitHub
9535990,2016-07-27 00:30:00,Malala Yousafzai,NRG Arena,Houston,TX,119.32,124.0,121.66,18,0,2016,7,2,GitHub
9527804,2016-04-15 22:00:00,Man Overboard,Marlin Room at Webster Hall,New York,NY,67.9,1111.0,589.45,52,0,2016,4,4,GitHub
9530044,2016-04-17 23:00:00,Man Overboard,Theatre of Living Arts,Philadelphia,PA,49.55,1111.0,580.275,140,0,2016,4,6,GitHub
9534420,2016-04-13 23:00:00,Man Overboard,First Unitarian Church of Philadelphia ,Philadelphia,PA,41.83,99.99,70.91,8,0,2016,4,2,GitHub
9521976,2016-10-27 00:00:00,Mana,Philips Arena,Atlanta,GA,70.73,606.9,338.815,1066,0,2016,10,3,GitHub
9535458,2016-10-27 00:01:00,Mana,Philips Arena Parking Lots,Atlanta,GA,40.26,40.0,40.129999999999995,5,0,2016,10,3,GitHub
9521973,2016-10-03 01:00:00,Mana,American Airlines Center,Dallas,TX,84.38,1500.0,792.19,1451,0,2016,10,0,GitHub
9521969,2016-09-15 02:30:00,Mana,Pepsi Center,Denver,CO,90.21,527.0,308.605,613,0,2016,9,3,GitHub
9527766,2016-10-02 00:30:00,Mana,Toyota Center,Houston,TX,86.67,1421.0,753.835,949,0,2016,10,6,GitHub
9521977,2016-10-30 00:30:00,Mana,American Airlines Arena,Miami,FL,73.3,9000.0,4536.65,2346,0,2016,10,6,GitHub
