year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth
2024,98,Charleston-Huntington,6809841,96220,70.77,0.14,42,79,162139.07142857142,2290.9523809523807,,,,7652578.0,122872.0,62.28,59.0,-0.11012458807999082,-0.21690865290709027
2025,80,Charleston-Huntington,11388299,218177,52.2,-0.262,71,82,160398.57746478874,3072.9154929577467,,,,6809841.0,96220.0,70.77,42.0,0.6723296476378817,1.2674807732280193
2022,20,Charlotte,33760402,412841,81.78,0.0,129,22,261708.5426356589,3200.3178294573645,,,,,,,,,
2023,21,Charlotte,92862231,1041088,89.2,0.09,423,22,219532.4609929078,2461.2009456264777,,,,33760402.0,412841.0,81.78,129.0,1.7506257478806089,1.521765037871723
2024,19,Charlotte,140593778,1665715,84.4,-0.05,628,21,223875.44267515923,2652.4124203821657,,,,92862231.0,1041088.0,89.2,423.0,0.5140038795751094,0.599975218233233
2025,23,Charlotte,112986221,1216064,92.91,0.101,589,21,191827.20033955856,2064.6247877758915,,,,140593778.0,1665715.0,84.4,628.0,-0.19636400268011855,-0.2699447384456525
2024,94,Charlottesville,8681892,99618,87.15,0.67,12,177,723491.0,8301.5,,,,,,,,,
2023,98,Chattanooga,6607820,102561,64.43,0.44,83,89,79612.2891566265,1235.6746987951808,,,,,,,,,
2025,100,Chattanooga,6010590,101433,59.26,-0.19,92,86,65332.5,1102.5326086956522,,,,6607820.0,102561.0,64.43,83.0,-0.09038230460272834,-0.010998332699564184
2022,5,Chicago,86042731,1068037,80.56,0.0,458,3,187866.2248908297,2331.9585152838426,,,,,,,,,
2023,4,Chicago,295681068,3291100,89.84,0.12,1207,3,244971.88732394367,2726.677713338857,,,,86042731.0,1068037.0,80.56,458.0,2.436444480126973,2.081447552846952
2024,4,Chicago,367388152,4010328,91.61,0.02,1383,3,265645.80766449746,2899.7310195227765,,,,295681068.0,3291100.0,89.84,1207.0,0.24251496548301166,0.21853726717510868
2025,5,Chicago,399947094,4226636,94.63,0.033,1620,3,246880.92222222223,2609.0345679012344,207.0,30.459756097560977,84.0,367388152.0,4010328.0,91.61,1383.0,0.08862273272220267,0.05393773277397762
2022,38,Cincinnati,11488279,206293,55.69,0.0,87,36,132049.183908046,2371.183908045977,,,,,,,,,
2023,47,Cincinnati,24865505,410073,60.64,0.09,183,36,135877.07650273223,2240.8360655737706,,,,11488279.0,206293.0,55.69,87.0,1.1644238445114365,0.9878182972762042
2024,40,Cincinnati,42953265,624229,68.81,0.13,325,36,132163.8923076923,1920.7046153846154,,,,24865505.0,410073.0,60.64,183.0,0.7274237945298114,0.5222387233492574
2025,40,Cincinnati,55648300,706877,78.72,0.144,278,37,200173.74100719424,2542.723021582734,,,,42953265.0,624229.0,68.81,325.0,0.2955545987016355,0.1324001287988863
2022,31,Cleveland,17787957,253260,70.24,0.0,46,19,386694.7173913043,5505.652173913043,,,,,,,,,
2023,32,Cleveland,45330757,676542,67.0,-0.05,193,19,234874.38860103628,3505.39896373057,,,,17787957.0,253260.0,70.24,46.0,1.548395917530046,1.6713338071547028
2024,35,Cleveland,53784176,816970,65.83,-0.02,226,19,237983.0796460177,3614.9115044247787,,,,45330757.0,676542.0,67.0,193.0,0.186483075938926,0.2075673055035756
2025,31,Cleveland-Akron (Canton),83551320,856169,97.59,0.482,196,19,426282.2448979592,4368.209183673469,,,,,,,,,
2022,79,Columbia,2869085,52143,55.02,0.0,17,76,168769.70588235295,3067.235294117647,,,,,,,,,
2023,69,Columbia,14758107,186859,78.98,0.44,47,77,314002.27659574465,3975.723404255319,,,,2869085.0,52143.0,55.02,17.0,4.143837495229315,2.5835874422261855
2024,90,Columbia,9998824,115380,86.66,0.1,37,76,270238.4864864865,3118.3783783783783,,,,14758107.0,186859.0,78.98,47.0,-0.3224860071823574,-0.3825290727232833
2025,96,"Columbia, SC",7597706,131695,57.69,-0.334,44,76,172675.13636363635,2993.068181818182,,,,,,,,,
2022,40,Columbus,9263107,131454,70.47,0.0,84,33,110275.08333333333,1564.9285714285713,,,,,,,,,
2023,44,Columbus,27644508,371655,74.38,0.06,252,32,109700.42857142857,1474.8214285714287,,,,9263107.0,131454.0,70.47,84.0,1.9843666925147252,1.8272627687251815
2024,27,"Columbus, OH",86664972,855423,101.31,0.36,379,32,228667.4722955145,2257.052770448549,,,,,,,,,
2025,43,"Columbus, OH",47738285,665917,71.69,-0.292,467,35,102223.30835117774,1425.9464668094217,,,,86664972.0,855423.0,101.31,379.0,-0.4491628636307642,-0.2215348429958044
2023,87,Columbus-Tupelo,7843650,191852,40.88,-0.09,93,133,84340.32258064517,2062.9247311827958,,,,,,,,,
2022,98,Corpus Christi,1541542,40343,38.21,0.0,17,130,90678.94117647059,2373.1176470588234,,,,,,,,,
2022,7,Dallas-Ft. Worth,60905142,683363,89.13,0.0,134,5,454515.98507462686,5099.723880597015,,,,,,,,,
2023,8,Dallas-Ft. Worth,206799956,2252572,91.81,0.03,394,5,524872.9847715736,5717.187817258883,,,,60905142.0,683363.0,89.13,134.0,2.395443294426602,2.296303721448191
2024,10,Dallas-Ft. Worth,259607807,2755018,94.23,0.03,468,5,554717.5363247864,5886.790598290599,,,,206799956.0,2252572.0,91.81,394.0,0.25535716748411685,0.22305435741898605
2025,10,Dallas-Ft. Worth,242219020,2532466,95.65,0.015,461,4,525420.8676789588,5493.418655097614,,,,259607807.0,2755018.0,94.23,468.0,-0.06698098643851647,-0.08078059744074262
2022,88,Davenport-Rock Island,2175938,36059,60.34,0.0,10,103,217593.8,3605.9,,,,,,,,,
2023,99,Davenport-Rock Island,6377075,124490,51.23,-0.15,37,101,172353.37837837837,3364.5945945945946,,,,2175938.0,36059.0,60.34,10.0,1.930724588660155,2.452397459718794
2022,84,Dayton,2466633,35854,68.8,0.0,9,65,274070.3333333333,3983.777777777778,,,,,,,,,
