city,phq_events,phq_total_attendance,phq_avg_rank
[-104.9263508,1,257.0,38.0
[-104.9264416,1,199.0,36.0
[-104.92677,1,100.0,30.0
[-104.92693,1,204.0,36.0
[-104.931218,1,5000.0,64.0
[-104.9316282,1,199.0,36.0
[-104.9329714,1,194.0,36.0
[-104.9330041,1,366.0,41.0
[-104.9332517,1,361.0,41.0
[-104.93327   39.6527 ],1,182.0,35.0
[-104.9333447,1,588.0,45.0
[-104.933381,1,1260.0,52.0
[-104.93357   40.45096],1,313.0,40.0
[-104.93359,1,344.0,41.0
[-104.9341615,1,180.0,35.0
[-104.9344654,1,229.0,37.0
[-104.93725,1,1500.0,54.0
[-104.93739400721617,1,4000.0,62.0
[-104.93761955686972,1,251.0,38.0
[-104.93852,1,691.0,47.0
[-104.93911   39.87711],1,100.0,30.0
[-104.93992,1,100.0,30.0
[-104.94122   40.0988 ],1,237.0,37.0
[-104.9413,1,278.0,39.0
[-104.9414673   39.6522293],1,219.0,37.0
[-104.94258,1,276.0,39.0
[-104.9447294,5,523.0,30.2
[-104.9455071,1,122.0,32.0
[-104.9458307,1,100.0,30.0
[-104.9462907,1,807.0,48.0
