venue_id,venue_name,venue_capacity,venue_postal_code,venue_city,venue_state_code,venue_latitude,venue_longitude,tm_api_status
KovZpZAFk6EA,Lincoln Theatre,,20009,Washington,DC,38.91740000,-77.02899200,Success
rZ7HnEZ17aM4f,Howard Theatre,,20001,Washington,DC,38.9153136,-77.0210937,Success
KovZpZAFavlA,Howard Theatre,,20001,Washington,DC,38.91543378,-77.02113555,Success
KovZpZA7knFA,9:30 CLUB,,20001,Washington,DC,38.91795000,-77.02373000,Success
KovZ917AinI,The Atlantis,,20001,Washington,DC,38.91819000,-77.02241000,Success
KovZpZAadt7A,Echostage,,20018,Washington,DC,38.91984858,-76.97281793,Success
rZ7HnEZ17feb4,Cornerstone Chapel,,20175,Leesburg,VA,39.0888511,-77.551856,Success
KovZpZAkEkvA,Bethesda Theater,,20814,Bethesda,MD,38.98739000,-77.09464000,Success
rZ7HnEZ173pqg,Tally Ho Theater,,20176,Leesburg,VA,39.115604,-77.5678328,Success
Z7r9jZae-y,Freeman Arts Pavilion,,19975,Selbyville,DE,38.467300000,-75.192596000,Success
ZFr9jZd67A,Rams Head On Stage,,21401,Annapolis,MD,38.991501000,-76.532501000,Success
ZFr9jZA6ad,Maryland Hall for the Creative Arts,,21401,Annapolis,MD,38.991501000,-76.532501000,Success
KovZpZA6tFlA,The Fillmore Silver Spring,,20910,Silver Spring,MD,38.99734055,-77.02746183,Success
KovZpZA1eeIA,Music Center at Strathmore,,20852,N Bethesda,MD,39.02830200,-77.10130000,Success
ZFr9jZ71Fe,Music Center at Strathmore,,20852,North Bethesda,MD,39.051899000,-77.124199000,Success
Z7r9jZa7Ao,The Hall at Live!,,21076,Hanover,MD,39.170101000,-76.720100000,Success
KovZpZA1JkvA,Merriweather Post Pavilion,,21044,Columbia,MD,39.20901900,-76.86258300,Success
KovZ917AJfx,Tally Ho Theater,,20176,Leesburg,VA,39.11570000,-77.56560000,Success
KovZ917A_-7,Chesapeake Employers Insurance Arena,,21250,Baltimore,MD,39.25204100,-76.70723700,Success
ZFr9jZe7Fe,M&T Bank Stadium,,21230,Baltimore,MD,39.267399000,-76.627998000,Success
rZ7HnEZakdQ,B&O Railroad Museum,,21223,Baltimore,MD,39.285394444444,-76.632397222222,Success
KovZpa95Xe,Viejas Casino & Resort - Concerts in the Park,,91901,Alpine,CA,32.84133400,-116.70498290,Success
KovZpZAEd1IA,"Fred Kavli Theatre- B of A Performing Arts Center,Thousand Oaks",,91362,Thousand Oaks,CA,34.17507100,-118.84949100,Success
