lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
"426,554","12,985,462",powerPop,A Rocket To The Moon
,,,A Rocky Mountain Christmas
"261,440","1,280,931",Disco,A Taste Of Honey
"38,677","309,116",rock,A ThoPopnd Horses
"2,403,128","107,018,732",Hip-Hop,A Tribe Called Quest
,,,A Tribute to Barbra Streisand
77,"1,369",,A Tribute To Led Zeppelin
5,7,,A Tribute To Rod Stewart
"195,069","10,432,877",melodic hardcore,A Wilhelm Scream
"25,386","53,937",hip hop,A!MS
"1,565,856","40,449,663",Hip-Hop,A$AP Ferg
"3,229,944","318,629,261",Hip-Hop,A$AP Rocky
"290,247","4,223,061",Pop,A*Teens
"439,513","15,595,569",bubblegum bass,A. G. Cook
869,"9,072",blues rock,A.B. Skhy
"15,081","158,561",Pop,A.J. Croce
6,6,,A.J. Ghent
"2,041","7,941",,A.L.T.
"1,187,342","39,327,804",ambient,Ólafur Arnalds
"103,577","1,753,988",Pop,Ängie
"1,398,558","74,435,550",Hip-Hop,¥$
3,5,,¥$: Kanye West
,,,¥$: Ye
3,3,,A+
1,2,,îLESONIQ
"10,372","307,354",folk,Émile Bilodeau
"2,645","7,423",,A17N
227,"2,228",,A1A
"9,777","73,295",,A2O
"42,871","294,092",ambient,Aakaash Rao
"1,963,603","40,202,813",RnB,Aaliyah
"251,597","1,951,701",Pop,Aaron Carter
"119,827","562,331",RnB,Aaron Hall
"47,549","365,115",Alt-Country,Aaron Lee Tasjan
"184,069","1,826,538",alternative rock,Aaron Lewis
8,42,,Aaron Lewis Of Staind With Fred Durst
"17,669","261,551",Country,Aaron Lines
"545,139","3,427,261",soul,Aaron Neville
"142,372","1,246,173",Country,Aaron Tippin
"80,203","1,241,484",Country,Aaron Watson
"48,616","2,189,908",folk,Aaron West
"318,659","4,296,527",contemporary RnB,Aaryan Shah
"4,975","34,457",eurodance,AB Logic
"2,782","11,712",Progressive rock,Abacab
"2,449","6,676",funk,Abaco Dream
"4,199,203","178,384,230",Pop,ABBA
,,,ABBA LA: The ABBA Concert Experience
,,,ABBA Revisited
"15,812","142,631",Pop,Abbacadabra
,,,AbbaFab
"1,057","3,789",Pop,Abbamania
"636,178","6,674,441",new wave,ABC
"16,055","227,965",Syriac,Abeer Nehme
"112,063","1,274,972",female vocalists,Abra Moore
193,"1,790",new jack swing,Abstrac'
"210,378","1,813,262",dubstep,AC Slater
"4,422,952","206,704,717",hard rock,AC/DC
"314,820","2,733,591",eurobeat,Ace
"12,218","63,648",60s,Ace Cannon
"252,660","2,560,383",hard rock,Ace Frehley
"967,217","7,104,429",Rap,Ace Hood
"1,752,671","23,870,705",Pop,Ace Of Base
"48,197","273,795",soul,Ace Spectrum
"20,319","507,134",death metal,Acheron
"369,068","17,296,182",Sludge,Acid Bath
"125,212","1,195,769",Electronic,Acopia
,,,Acoustic Jam Lexington
,,,Acoustic Jam Louisville
15,154,,Acraze
13,58,,Action Bronson
"298,099","3,491,802",new wave,Adam Ant
"15,120","84,010",Soundtrack,Adam Clayton
"45,011","474,915",Country,Adam Doleac
"6,988","56,883",americana,Adam Ezra Group
"126,253","524,067",60s,Adam Faith
224,798,,Adam Faith With The Roulettes
"18,734","98,759",Smooth Jazz,Adam Hawley
"332,786","3,215,841",Rap,Adam Hicks
"1,233,932","41,259,103",Pop,Adam Lambert
"339,550","3,375,793",Pop,Adam Levine
"441,207","3,888,591",House,Adam Port
"403,567","2,987,118",comedy,Adam Sandler
"130,770","2,847,208",Soundtrack,Adam Skorupa
"53,169","354,373",Soundtrack,Adam Taylor
"10,312","38,585",60s,Adam Wade
"3,075","24,556",Country,Adam Wakefield
"14,472","94,551",rock,Added Color
"1,288,555","89,190,437",Pop,Addison Rae
"1,431","6,159",,Addrisi Brothers
"5,467,041","308,395,975",soul,Adele
942,"4,589",,Adele With Erroll Garner
"923,334","17,058,915",Nu Metal,Adema
"193,467","1,125,208",RnB,Adina Howard
,,,Adobo DMV
"75,700","649,395",Soundtrack,Adrián Berenguer
"114,767","1,729,037",Progressive rock,Adrian Belew
219,583,,Adrian Kimberly
"85,124","527,815",latin,Adrian Quesada
"45,924","446,570",dub,Adrian Sherwood
"144,060","3,787,412",neoclassical,Adrian Von Ziegler
"1,245,719","102,086,971",singer-songwriter,Adrianne Lenker
"328,795","4,674,218",dubstep,Adventure Club
,,,Adventures In Parrotdise
"2,744","32,307",,桑原まこ
"191,166","3,188,102",Rap,攬佬SKAI ISYOURGOD
"75,861","2,271,860",,梶浦 由記
"4,613,733","127,931,919",hard rock,Aerosmith
"95,890","1,625,091",acoustic,aeseaes
"1,237,141","248,658,304",k-Pop,aespa
"2,444","30,491",,時瀬高等学校箏曲部
,,,AF2K A Farewell To Kings
"1,928,813","86,536,572",Punk Rock,AFI
"61,997","176,950",Hip-Hop,Afrika Bambaataa
"12,413","63,736",funk,Afrique
"929,484","10,413,654",House,Afrojack
198,"2,572",latin jazz,Afro-Latin Jazz Orchestra
"962,800","8,467,329",Rap,Afroman
"16,799","110,229",,AFRONOM
"151,940","1,100,020",RnB,After 7
"140,258","796,812",new wave,After The Fire
"35,904","485,216",metalcore,Aftershock
"88,850","2,326,571",indie,Aftertheparty
"397,910","6,775,105",punk,Agent Orange
84,695,punk,Aggro or Die!
"948,293","27,214,609",folk,Agnes Obel
"8,596","122,114",,Agnetha Faltskog
61,206,,Agnetha Faltskog/Peter Cetera
"321,104","11,485,675",hardcore,Agnostic Front
"49,156","939,296",,Agriculture
"56,228","281,905",hyperPop,AGTHA
"791,629","502,673,719",Rap,Agust D
"3,272,683","56,790,739",new wave,a-ha
"66,750","317,619",singer-songwriter,AHI
"24,283","175,465",Hip-Hop,Ahmad
"52,160","693,913",egyptian,Ahmed Saad
"18,980","98,562",mariachi,Aida Cuevas
"395,719","5,179,085",singer-songwriter,Aidan Bissett
"994,223","21,820,152",female vocalists,Aimee Mann
"940,285","11,898,687",80s,Air Supply
"41,500","149,157",ambient,Airwaves
