artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
BJ Lips,63.0,164335.0,77.0,1,1.0,2.8861333333333334
BL3SS,66.0,52913.0,23.0,1,0.0,2.3041
BL8M,60.0,183597.0,70.0,1,0.0,3.14985
BLACKPINK,81.0,56140946.0,56.6,5,0.0,2.9488233333333334
BOBI ANDONOV,38.0,27646.0,49.0,1,1.0,3.704
BOMBVY,13.0,119.0,30.0,1,1.0,9.852883333333333
BONES,71.0,1958141.0,67.5,2,1.0,1.7905666666666666
BONZIE,30.0,28410.0,34.5,2,0.0,3.526741666666666
BRAN,47.0,9570.0,1.0,2,0.0,1.7431666666666668
BTS,85.0,81181104.0,57.903225806451616,31,0.0,3.9214279569892474
BUNT.,69.0,293734.0,67.0,1,0.0,2.646
BURY,52.0,21748.0,46.857142857142854,7,0.0,2.7518357142857144
BYOR,60.0,38969.0,9.0,1,0.0,2.259533333333333
Babeheaven,41.0,53700.0,30.0,1,0.0,4.3274333333333335
Baby Bash,62.0,1056466.0,39.0,1,0.0,4.056216666666667
Baby Keem,72.0,3127881.0,76.0,2,1.0,3.1845333333333334
Baby Tate,61.0,618711.0,65.0,1,0.0,1.9259166666666667
Babybird,39.0,19186.0,29.0,1,0.0,3.7022166666666667
Backstreet Boys,76.0,6707978.0,76.66666666666667,3,0.0,3.783844444444444
Bad Bunny,95.0,102500980.0,73.33928571428571,56,0.8035714285714286,3.6554
Bad Meets Evil,58.0,1858826.0,68.0,1,1.0,5.06355
Bad Wolves,62.0,891423.0,3.0,1,0.0,4.24675
Badfinger,49.0,445170.0,61.0,1,0.0,3.6224333333333334
Banshee,49.0,281826.0,55.0,1,1.0,3.2
Bare Up,33.0,6562.0,51.0,1,0.0,3.5429166666666667
Baroque Festival Orchestra,55.0,30582.0,63.0,1,0.0,2.934
Basshunter,60.0,544907.0,65.0,2,0.0,3.141775
Bastille,72.0,5647181.0,61.666666666666664,3,0.0,3.470222222222222
Batzorig Vaanchig,16.0,21869.0,32.0,1,0.0,4.810433333333333
