artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
Columbus Blue Jackets at Carolina Hurricanes,1,30.05,0.2577310922415133,33.07,,7.85,0.0,1.0,0.0,120.0,columbus blue jackets at carolina hurricanes
Corey Holcomb: The 5150 Industry Repo Show,1,45.33,0.1113310713926984,13.97,502.0,5.244999999999999,1.0,0.0,0.0,10.0,corey holcomb: the 5150 industry repo show
Creighton Bluejays at Xavier Musketeers Basketball,1,,,,148.0,,0.0,0.0,0.0,,creighton bluejays at xavier musketeers basketball
Cross Canadian Ragweed and Turnpike Troubadours,1,125.95,0.1112679402866421,31.65000000000001,149.0,15.825000000000005,0.0,0.0,1.0,6.0,cross canadian ragweed and turnpike troubadours
D-Block Europe,6,68.16333333333334,0.2542936819022062,43.85333333333333,108.66666666666667,19.815333333333335,0.0,0.5,0.5,26.666666666666668,d-block europe
Dallas Stars at Minnesota Wild,1,59.015,0.2631180609560202,67.6,,17.90793103448276,0.0,1.0,0.0,120.0,dallas stars at minnesota wild
Dallas Stars at Winnipeg Jets,1,29.090000000000003,0.2400756549616043,38.74,,7.146206896551724,0.0,1.0,0.0,120.0,dallas stars at winnipeg jets
Damiano David,2,52.87,0.19060488329561648,41.05,103.5,5.36896551724138,0.0,0.5,0.0,120.0,damiano david
Danity Kane,1,84.6,0.1287994070318943,41.19000000000001,9.0,8.495862068965517,0.0,0.0,1.0,120.0,danity kane
Dave Chappelle,1,85.47,0.4768780812723679,194.71,,37.52153846153846,0.0,1.0,1.0,56.0,dave chappelle
DePaul Blue Demons at Xavier Musketeers Basketball,1,,,,225.0,,1.0,0.0,0.0,,depaul blue demons at xavier musketeers basketball
Demetri Martin: The Quick Draw Tour,1,53.75,0.1182687831958956,24.99,779.0,5.47103448275862,1.0,0.0,0.0,120.0,demetri martin: the quick draw tour
Detroit Red Wings at Calgary Flames,1,13.0,0.4635674942367015,37.52,,4.538620689655173,0.0,1.0,0.0,120.0,detroit red wings at calgary flames
Detroit Red Wings at Chicago Blackhawks,1,146.635,0.4870692052548069,252.42,689.0,68.55896551724136,1.0,1.0,1.0,120.0,detroit red wings at chicago blackhawks
Detroit Red Wings at Edmonton Oilers,1,42.885000000000005,0.2754823698539735,62.86,,12.492413793103449,0.0,1.0,0.0,120.0,detroit red wings at edmonton oilers
Detroit Red Wings at Vancouver Canucks,1,35.07,0.2518238654132002,35.53,,9.455862068965518,0.0,1.0,0.0,120.0,detroit red wings at vancouver canucks
Diana Krall,1,195.93,0.1054950788099811,43.160000000000025,1.0,37.33500000000002,0.0,0.0,1.0,6.0,diana krall
Diego Torres,1,87.46,0.1744506544493325,52.3,127.0,19.945,0.0,0.0,1.0,44.0,diego torres
Dijon,2,35.33,0.2085174782157859,31.46,450.0,8.373103448275861,0.5,0.5,0.0,120.0,dijon
Dillon Francis,1,27.75,0.1021785937303959,7.57,66.0,3.36,0.0,0.0,0.0,32.0,dillon francis
Disney On Ice,1,24.245,0.2995696621945783,45.32,,5.944827586206896,0.0,1.0,0.0,120.0,disney on ice
Disney On Ice - Let's Dance,2,42.542500000000004,0.19069703952117922,33.36,,7.33655172413793,0.0,0.0,0.0,120.0,disney on ice - let's dance
Disney On Ice - Road Trip Adventures,1,24.7,0.0427551035314037,2.619999999999997,,0.1306896551724136,0.0,0.0,0.0,120.0,disney on ice - road trip adventures
Doja Cat,1,121.835,0.2706350558847658,119.48000000000002,45.0,41.846896551724136,0.0,1.0,1.0,120.0,doja cat
Earl Sweatshirt,1,20.770000000000003,0.383928420672641,35.480000000000004,74.0,4.343103448275862,0.0,1.0,0.0,120.0,earl sweatshirt
"Earth, Wind & Fire",2,208.06,0.18954247300198063,177.14000000000001,177.5,25.1948275862069,0.5,0.5,1.0,120.0,"earth, wind & fire"
