lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name,plays_per_listener,artist_name_std
930.0,2762.0,Unknown,Allure,2.9698924731182794,allure
15.0,119.0,Unknown,Almost Queen,7.933333333333334,almost queen
135830.0,893727.0,Unknown,ALO,6.579746742251343,alo
1213249.0,14393414.0,soul,Aloe Blacc,11.863528426563715,aloe blacc
1177510.0,24019916.0,Electronic,Alok,20.398906166401982,alok
36359.0,394927.0,indie,Alpha Rev,10.861877389367145,alpha rev
5405.0,25881.0,techno,Alpha Team,4.788344125809436,alpha team
1717917.0,22248794.0,SynthPop,Alphaville,12.951029648114549,alphaville
181572.0,1949124.0,celtic,Altan,10.734716806556078,altan
22967.0,350185.0,mongolian,Altan Urag,15.247311359777072,altan urag
1141970.0,45027544.0,alternative rock,Alter Bridge,39.429708311076475,alter bridge
279044.0,1817606.0,Electronic,Alter Ego,6.5136895973394875,alter ego
64.0,343.0,Unknown,Alter Egos,5.359375,alter egos
2297475.0,116488291.0,indie,alt-J,50.702745840542335,alt-j
5228.0,31857.0,soul,Alton McClain,6.093534812547819,alton mcclain
111596.0,904787.0,comedy,Alvin,8.107700992867128,alvin
15879.0,55475.0,7soul,Alvin Cash,3.4936079098179986,alvin cash
14301.0,64772.0,blues,Alvin Robinson,4.5291937626739385,alvin robinson
1082575.0,21205915.0,Pop,Aly,19.58840265108653,aly
950358.0,31126024.0,RnB,Amaarae,32.751893496976926,amaarae
28087.0,207370.0,Lo-Fi,Amanda,7.383130985865347,amanda
11581.0,112699.0,rock,Amanda Brown,9.731370347983766,amanda brown
154531.0,1451986.0,female vocalists,Amanda Marshall,9.396082339465869,amanda marshall
92226.0,526617.0,RnB,Amanda Perez,5.71007091275779,amanda perez
,,Unknown,Amateur Night at The Apollo,,amateur night at the apollo
19422.0,133103.0,Unknown,Amazing Rhythm Aces,6.853207702605293,amazing rhythm aces
24845.0,110108.0,80s,Amazulu,4.431797142282149,amazulu
445.0,753.0,Unknown,Amb1shn,1.6921348314606741,amb1shn
285682.0,2142570.0,Post-Metal,Amber,7.4998424822004885,amber
2934.0,44897.0,the voice,Amber Carrington,15.302317655078392,amber carrington
505976.0,9237618.0,soul,Amber Mark,18.257028001328127,amber mark
587466.0,8840544.0,indie,Amber Run,15.048605366097783,amber run
90786.0,557399.0,Hip-Hop,Ambjaay,6.139702156720199,ambjaay
48983.0,953980.0,folk,Amble,19.475736480003267,amble
399611.0,3511451.0,soft rock,Ambrosia,8.78717302576756,ambrosia
2508.0,11009.0,Pop,A'me Lorain,4.389553429027114,a'me lorain
269325.0,2552971.0,Neo-Soul,Amel Larrieux,9.4791460131811,amel larrieux
48084.0,422613.0,queer,Amelia Day,8.789056650860994,amelia day
2012269.0,36359242.0,classic rock,America,18.068778080862945,america
468.0,837.0,Unknown,America Allen,1.7884615384615385,america allen
47978.0,1072298.0,Country,American Aquarium,22.349785318270875,american aquarium
1174910.0,13106496.0,indie,American Authors,11.155319130827042,american authors
4427.0,16859.0,experimental,American Composers Orchestra,3.8082222724192456,american composers orchestra
224.0,2184.0,indie acoustic,American English,9.75,american english
44908.0,132107.0,soft rock,American Flyer,2.941725305068139,american flyer
626288.0,7819871.0,Pop Punk,American Hi-Fi,12.486062322765246,american hi-fi
13.0,144.0,Unknown,American Idiots,11.076923076923077,american idiots
1731.0,8813.0,American Idol,American Idol Finalists,5.091276718659734,american idol finalists
10.0,45.0,Unknown,American Idol Finalists Season 4,4.5,american idol finalists season 4
181.0,1244.0,christian,American Idol Top 8,6.87292817679558,american idol top 8
6564.0,31130.0,opera,American Symphony Orchestra,4.742535039609994,american symphony orchestra
12264.0,61737.0,Unknown,american woman,5.034001956947162,american woman
1283793.0,14213525.0,RnB,Amerie,11.071508412960656,amerie
207305.0,1030916.0,Disco,Amii Stewart,4.972943247871494,amii stewart
1444002.0,61309134.0,Rap,Aminé,42.45779022466728,aminé
28517.0,244805.0,RnB,Amine,8.584528526843638,amine
8574.0,112720.0,Canadian,Amos the Transparent,13.146722649871705,amos the transparent
28249.0,471981.0,heavy metal,Amulet,16.707883464901414,amulet
437742.0,4446678.0,Pop,Amy Grant,10.15821648368217,amy grant
72.0,459.0,Unknown,Amy Grant With Vince Gill,6.375,amy grant with vince gill
65199.0,434777.0,Pop,Amy Holland,6.668461172717373,amy holland
1272920.0,32834223.0,female vocalists,Amy Macdonald,25.794412060459415,amy macdonald
4491236.0,196674427.0,soul,Amy Winehouse,43.790713068740985,amy winehouse
385422.0,13046060.0,punk,Amyl,33.84876836298914,amyl
51576.0,329992.0,folk,Amythyst Kiah,6.398169691329301,amythyst kiah
54340.0,423050.0,female vocalists,Ana,7.785241074714759,ana
7606.0,59988.0,Musical theatre,Ana Gasteyer,7.886931369971076,ana gasteyer
77474.0,937507.0,blues,Ana Popovic,12.100924181015566,ana popovic
47308.0,119354.0,Unknown,Ana Shine,2.5229136721061978,ana shine
461.0,3409.0,Unknown,Anacostia,7.394793926247289,anacostia
11401.0,79488.0,Unknown,Anais,6.972019998245768,anais
2272.0,6773.0,Indian,Ananya,2.981073943661972,ananya
1049021.0,16009783.0,Pop,Anastacia,15.261642045297473,anastacia
450.0,1343.0,Unknown,Anaumali,2.9844444444444442,anaumali
4562.0,59211.0,punk,Ancient Shapes,12.979175800087681,ancient shapes
63262.0,619707.0,blues,Anders Osborne,9.79588062343903,anders osborne
218446.0,2872825.0,Hip-Hop,Andre 3000,13.151190683280994,andre 3000
15.0,71.0,Unknown,Andre Pitre,4.733333333333333,andre pitre
292.0,834.0,instrumental,Andre Power,2.856164383561644,andre power
92.0,207.0,Unknown,Andre Previn With David Rose,2.25,andre previn with david rose
58327.0,482580.0,blues,Andre Williams,8.273698287242615,andre williams
1038541.0,15549676.0,Classical,Andrea Bocelli,14.972616391649439,andrea bocelli
3089.0,19282.0,60s,Andrea Carroll,6.242149562965361,andrea carroll
13949.0,88670.0,RnB,Andrea Martin,6.356728080866012,andrea martin
170811.0,831572.0,Disco,Andrea True Connection,4.868374987559349,andrea true connection
84823.0,434677.0,folk,Andrea Von Kampen,5.124518114190726,andrea von kampen
99841.0,1327519.0,classical guitar,Andrei Krylov,13.296331166554822,andrei krylov
16541.0,358996.0,Unknown,Andres Cepeda,21.703403663623725,andres cepeda
494207.0,7780143.0,singer-songwriter,Andrew Belle,15.742680698573675,andrew belle
1632187.0,68885557.0,folk,Andrew Bird,42.20445145072225,andrew bird
5.0,33.0,Unknown,Andrew Collins Trio,6.6,andrew collins trio
16693.0,139435.0,folk,Andrew Duhon,8.352902414185587,andrew duhon
493851.0,2636502.0,70s,Andrew Gold,5.338658826245163,andrew gold
8585.0,63323.0,Country,Andrew Jannakos,7.376004659289459,andrew jannakos
241269.0,3985789.0,indie Pop,Andrew McMahon In The Wilderness,16.52010411615251,andrew mcmahon in the wilderness
1473.0,16247.0,british,Andrew Ridgeley,11.029871011541072,andrew ridgeley
3738.0,18371.0,Pop,Andrew Seeley,4.914660246120921,andrew seeley
108450.0,903639.0,new age,Andru Donalds,8.332309820193638,andru donalds
205.0,1441.0,LITTLE STAR,Andy,7.029268292682927,andy
104683.0,797609.0,SynthPop,Andy Bell,7.619279157074215,andy bell
9904.0,81313.0,rock,Andy Fairweather Low,8.210117124394184,andy fairweather low
29035.0,267700.0,rock,Andy Frasco,9.219907008782505,andy frasco
1386.0,13943.0,rock,Andy Fraser,10.05988455988456,andy fraser
221646.0,2018319.0,Disco,Andy Gibb,9.10604748111854,andy gibb
894151.0,11753624.0,Pop,Andy Grammer,13.145010182843837,andy grammer
54342.0,443708.0,Country,Andy Griggs,8.165102498987892,andy griggs
64412.0,320140.0,Pop,Andy Kim,4.970191889709992,andy kim
96604.0,512248.0,salsa,Andy Montañez,5.302554759637282,andy montañez
,,Unknown,Andy Prado,,andy prado
15319.0,93487.0,70s,Andy Pratt,6.102682942750833,andy pratt
310.0,1127.0,Unknown,Andy Rose,3.6354838709677417,andy rose
391749.0,8285337.0,folk,Andy Shauf,21.149605997717927,andy shauf
24202.0,140557.0,folk,Andy Stewart,5.8076605239236425,andy stewart
17390.0,169172.0,rock,Andy Taylor,9.728119608970673,andy taylor
1803162.0,15365963.0,oldies,Andy Williams,8.52167636629432,andy williams
74.0,202.0,Unknown,Andy Williams with the St. Charles Borromeo Choir,2.72972972972973,andy williams with the st. charles borromeo choir
643650.0,13976682.0,singer-songwriter,Ane Brun,21.714723840596598,ane brun
183204.0,1392753.0,hard rock,Angel,7.602197550271828,angel
864.0,4161.0,Unknown,Angel City,4.815972222222222,angel city
168179.0,4617943.0,hardcore punk,Angel Du$t,27.45849957485774,angel du$t
