city,year,week,num_events,temperature_avg_week,precipitation_total_week
Park City,2025,52,1,,
Pawling,2025,1,2,,
Pawling,2025,49,3,,
Pawling,2025,50,7,,
Pawling,2025,51,1,,
Pawling,2025,52,3,,
Pensacola,2025,50,1,,
Pensacola,2025,51,3,,
Pensacola,2025,52,1,,
Pinellas Park,2025,50,1,,
Pioneertown,2025,49,1,,
Pioneertown,2025,50,3,,
Pioneertown,2025,51,3,,
Pioneertown,2025,52,1,,
Plymouth,2025,50,2,,
Pomona,2025,50,2,,
Pomona,2025,51,1,,
Ponte Vedra Beach,2025,50,1,,
Pontiac,2025,50,2,,
Pontiac,2025,51,4,,
Pontiac,2025,52,2,,
Port Chester,2025,1,1,,
Port Chester,2025,49,2,,
Port Chester,2025,50,2,,
Port Chester,2025,51,4,,
Port Chester,2025,52,3,,
Primm,2025,49,1,,
Primm,2025,51,1,,
Primm,2025,52,1,,
Queens,2025,49,1,,
Raleigh,2025,1,1,,
Raleigh,2025,49,1,,
Raleigh,2025,50,7,,
Raleigh,2025,51,1,,
Red Bank,2025,1,1,,
Red Bank,2025,49,2,,
Red Bank,2025,50,6,,
Red Bank,2025,51,11,,
Red Bank,2025,52,2,,
Richmond,2025,50,3,,
Richmond,2025,51,6,,
Richmond,2025,52,1,,
Riverside,2025,1,1,,
Riverside,2025,50,3,,
Riverside,2025,51,1,,
Riverside,2025,52,2,,
Rochester,2025,49,5,,
Rochester,2025,50,9,,
Rochester,2025,51,3,,
Rochester,2025,52,1,,
Rockford,2025,50,1,,
Rockford,2025,51,1,,
Rockford,2025,52,1,,
Rohnert Park,2025,51,1,,
Rosemont,2025,50,6,,
Rosemont,2025,51,2,,
Rosemont,2025,52,4,,
Roseville,2025,50,3,,
Roseville,2025,51,1,,
Royal Oak,2025,50,1,,
Royal Oak,2025,51,2,,
Rutherford,2025,49,1,,
Rutherford,2025,50,2,,
Rutherford,2025,51,3,,
Rutherford,2025,52,2,,
Sacramento,2025,26,1,,
Sacramento,2025,49,1,,
Sacramento,2025,50,5,,
Sacramento,2025,51,4,,
Sacramento,2025,52,2,,
Saginaw,2025,49,1,,
Saginaw,2025,50,2,,
Saint Augustine,2025,50,3,,
Saint Augustine,2025,51,2,,
Saint Charles,2025,50,1,,
Saint Charles,2025,51,2,,
Saint Petersburg,2025,51,1,,
Salamanca,2025,49,1,,
San Francisco,2025,1,5,,
San Francisco,2025,49,9,,
San Francisco,2025,50,39,,
San Francisco,2025,51,36,,
San Francisco,2025,52,13,,
San Jose,2025,49,3,,
San Jose,2025,50,4,,
San Jose,2025,51,4,,
San Jose,2025,52,2,,
San Leandro,2025,51,1,,
Sanford,2025,49,2,,
Sanford,2025,50,3,,
Sanford,2025,51,4,,
Sanford,2025,52,1,,
Santa Ana,2025,49,1,,
Santa Cruz,2025,1,2,,
Santa Cruz,2025,49,2,,
Santa Cruz,2025,50,6,,
Santa Cruz,2025,51,5,,
Santa Cruz,2025,52,1,,
Savannah,2025,50,2,,
Sayreville,2025,50,2,,
Sayreville,2025,51,1,,
Schenectady,2025,1,2,,
Schenectady,2025,51,1,,
Scranton,2025,50,2,,
Shipshewana,2025,50,4,,
Shipshewana,2025,51,1,,
Silver Spring,2025,49,1,,
Silver Spring,2025,50,3,,
Silver Spring,2025,51,3,,
South Barrington,2025,50,2,,
South Bend,2025,50,2,,
South Bend,2025,51,1,,
South Burlington,2025,50,1,,
South Burlington,2025,51,1,,
Southfield,2025,50,1,,
Springfield,2025,49,1,,
Springfield,2025,50,2,,
Springfield,2025,52,1,,
St Petersburg,2025,50,3,,
St Petersburg,2025,51,1,,
St. Augustine,2025,50,1,,
St. Petersburg,2025,50,1,,
Stamford,2025,49,2,,
Stamford,2025,50,1,,
Stamford,2025,51,2,,
Stateline,2025,50,1,,
Stateline,2025,52,1,,
Staten Island,2025,49,1,,
Staten Island,2025,51,2,,
Stockton,2025,50,1,,
