event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_years_active,year,month,dayofweek,avg_price,price_range,is_sold_out,tickets_per_posting,artist_std,event_datetime,date_only,hour,day_of_week,is_weekend,temperature,precipitation,weather_condition
9502598,2016-07-06 00:00:00,An Evening with Noel Gallagher?s High Flying Birds,Beacon Theatre,70.94,1000.0,208,449,New York,NY,NoResults,NoResults,NoResults,NoResults,114,,2016,7,2,535.47,929.06,0,2.1586538461538463,an evening with noel gallagher?s high flying birds,2016-07-06 00:00:00,2016-07-06,0,2,0,,,
9461067,2016-03-27 00:00:00,an Evening with Percy Hill,Paradise Rock Club,37.66,85.0,9,30,Boston,MA,NoResults,NoResults,NoResults,NoResults,13,,2016,3,6,61.33,47.34,0,3.333333333333333,an evening with percy hill,2016-03-27 00:00:00,2016-03-27,0,6,1,,,
9522603,2016-04-07 00:00:00,An Intimate Solo Acoustic Performance by Citizen Cope,Wilbur Theatre,68.97,200.0,17,56,Boston,MA,NoResults,NoResults,NoResults,NoResults,24,,2016,4,3,134.485,131.03,0,3.294117647058824,an intimate solo acoustic performance by citizen cope,2016-04-07 00:00:00,2016-04-07,0,3,0,,,
9489235,2016-05-01 00:00:00,Ana Moura,Berklee Performance Center ,88.64,73.0,2,11,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,75888,48,,2016,5,6,80.82,-15.64,0,5.5,ana moura,2016-05-01 00:00:00,2016-05-01,0,6,1,,,
9327664,2016-04-27 00:00:00,Ana Moura,Carnegie Hall - Stern Auditorium,235.35,288.0,3,8,New York,NY,NoVendorClass,NoPriceClass,NoSoldOutClass,75888,44,,2016,4,2,261.675,52.650000000000006,0,2.6666666666666665,ana moura,2016-04-27 00:00:00,2016-04-27,0,2,0,,,
9440713,2016-03-26 01:00:00,Anders Osborne,Gas Monkey Bar N Grill,41.44,33.0,1,4,Dallas,TX,Ticketfly,$5.00 ,0,464387,12,27.0,2016,3,5,37.22,-8.439999999999998,0,4.0,anders osborne,2016-03-26 01:00:00,2016-03-26,1,5,1,,,
9440727,2016-04-03 04:00:00,Anders Osborne,Dantes,112.63,91.0,1,8,Portland,OR,NoResults,NoResults,NoResults,NoResults,20,,2016,4,6,101.815,-21.629999999999995,0,8.0,anders osborne,2016-04-03 04:00:00,2016-04-03,4,6,1,,,
9440729,2016-04-04 02:00:00,Anders Osborne,Neumos,47.41,116.0,5,30,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,2610996,21,,2016,4,0,81.705,68.59,0,6.0,anders osborne,2016-04-04 02:00:00,2016-04-04,2,0,0,,,
9440691,2016-04-02 04:00:00,Anders Osborne,Fillmore San Francisco,52.72,116.0,7,49,San Francisco,CA,Live Nation,NoPriceClass,0,2610996,19,,2016,4,5,84.36,63.28,0,7.0,anders osborne,2016-04-02 04:00:00,2016-04-02,4,5,1,,,
9513692,2016-03-26 01:00:00,Anderson East,Terminal West,44.39,198.0,8,32,Atlanta,GA,Ticketfly,$12.00 ,1,3742616,12,7.0,2016,3,5,121.195,153.61,0,4.0,anderson east,2016-03-26 01:00:00,2016-03-26,1,5,1,,,
